ID,Name,Definition,Source,Namespace,Primary_System,Subcategory_Code,Subcategory_Name,Subcategory_Description,All_Systems,Inflammation_Polarity,Confidence_Score,Decision_Path,Classification_Date,Version
GO:0000512,lncRNA-mediated post-transcriptional gene silencing,"A post-transcriptional gene silencing pathway in which regulatory long noncoding RNAs (lncRNAs) elicit silencing of specific target genes, often miRNAs or mRNAs.",GO,biological_process,System B: Immune Defense,B3,Immune Regulation and Tolerance,"Negative feedback control, checkpoint regulation, tolerance mechanisms",['System 0: General Molecular Machinery'],anti-inflammatory,0.9,"['pattern_matching', 'single_match_0', 'inflammation_tolerance_rule']",2025-12-24 18:05:48,v8.0
GO:0000751,mitotic cell cycle G1 arrest in response to pheromone,The cell cycle regulatory process in which the mitotic cell cycle is halted during G1 as a result of a pheromone stimulus. An example of this process is found in Saccharomyces cerevisiae.,GO,biological_process,System B: Immune Defense,B3,Immune Regulation and Tolerance,"Negative feedback control, checkpoint regulation, tolerance mechanisms",['System A: Self-Healing & Structural Reconstruction'],anti-inflammatory,0.9,"['pattern_matching', 'single_match_A', 'inflammation_tolerance_rule']",2025-12-24 18:05:48,v8.0
GO:0001192,maintenance of transcriptional fidelity during transcription elongation,"Suppression of the occurrence of transcriptional errors, such as substitutions and/or insertions of nucleotides that do not correctly match the template base, during the process of transcription elongation on a DNA template.",GO,biological_process,System B: Immune Defense,B3,Immune Regulation and Tolerance,"Negative feedback control, checkpoint regulation, tolerance mechanisms",['System 0: General Molecular Machinery'],anti-inflammatory,0.9,"['pattern_matching', 'single_match_0', 'inflammation_tolerance_rule']",2025-12-24 18:05:49,v8.0
GO:0001193,maintenance of transcriptional fidelity during transcription elongation by RNA polymerase II,"Suppression of the occurrence of transcriptional errors, such as substitutions and/or insertions of nucleotides that do not correctly match the template base, during the process of transcription elongation from an RNA polymerase II promoter.",GO,biological_process,System B: Immune Defense,B3,Immune Regulation and Tolerance,"Negative feedback control, checkpoint regulation, tolerance mechanisms",['System 0: General Molecular Machinery'],anti-inflammatory,0.9,"['pattern_matching', 'single_match_0', 'inflammation_tolerance_rule']",2025-12-24 18:05:49,v8.0
GO:0001195,maintenance of transcriptional fidelity during transcription elongation by RNA polymerase III,"Suppression of the occurrence of transcriptional errors, such as substitutions and/or insertions of nucleotides that do not correctly match the template base, during the process of transcription elongation from a RNA polymerase III promoter.",GO,biological_process,System B: Immune Defense,B3,Immune Regulation and Tolerance,"Negative feedback control, checkpoint regulation, tolerance mechanisms",['System 0: General Molecular Machinery'],anti-inflammatory,0.9,"['pattern_matching', 'single_match_0', 'inflammation_tolerance_rule']",2025-12-24 18:05:49,v8.0
GO:0001796,regulation of type IIa hypersensitivity,"Any process that modulates the frequency, rate, or extent of type IIa hypersensitivity, a type of inflammatory response.",GO,biological_process,System B: Immune Defense,B3,Immune Regulation and Tolerance,"Negative feedback control, checkpoint regulation, tolerance mechanisms",['System B: Immune Defense'],pro-inflammatory,0.9,"['pattern_matching', 'single_match_B']",2025-12-24 18:05:49,v8.0
GO:0001797,negative regulation of type IIa hypersensitivity,"Any process that stops, prevents, or reduces the rate of type IIa hypersensitivity, a type of inflammatory response.",GO,biological_process,System B: Immune Defense,B3,Immune Regulation and Tolerance,"Negative feedback control, checkpoint regulation, tolerance mechanisms",['System B: Immune Defense'],pro-inflammatory,0.9,"['pattern_matching', 'single_match_B']",2025-12-24 18:05:49,v8.0
GO:0001798,positive regulation of type IIa hypersensitivity,"Any process that activates or increases the frequency, rate or extent of type IIa hypersensitivity, a type of inflammatory response.",GO,biological_process,System B: Immune Defense,B3,Immune Regulation and Tolerance,"Negative feedback control, checkpoint regulation, tolerance mechanisms",['System B: Immune Defense'],pro-inflammatory,0.9,"['pattern_matching', 'single_match_B']",2025-12-24 18:05:49,v8.0
GO:0001799,regulation of type IIb hypersensitivity,"Any process that modulates the frequency, rate, or extent of type IIb hypersensitivity, a type of inflammatory response.",GO,biological_process,System B: Immune Defense,B3,Immune Regulation and Tolerance,"Negative feedback control, checkpoint regulation, tolerance mechanisms",['System B: Immune Defense'],pro-inflammatory,0.9,"['pattern_matching', 'single_match_B']",2025-12-24 18:05:49,v8.0
GO:0001800,negative regulation of type IIb hypersensitivity,"Any process that stops, prevents, or reduces the rate of type IIb hypersensitivity, a type of inflammatory response.",GO,biological_process,System B: Immune Defense,B3,Immune Regulation and Tolerance,"Negative feedback control, checkpoint regulation, tolerance mechanisms",['System B: Immune Defense'],pro-inflammatory,0.9,"['pattern_matching', 'single_match_B']",2025-12-24 18:05:49,v8.0
GO:0001801,positive regulation of type IIb hypersensitivity,"Any process that activates or increases the frequency, rate or extent of type IIb hypersensitivity, a type of inflammatory response.",GO,biological_process,System B: Immune Defense,B3,Immune Regulation and Tolerance,"Negative feedback control, checkpoint regulation, tolerance mechanisms",['System B: Immune Defense'],pro-inflammatory,0.9,"['pattern_matching', 'single_match_B']",2025-12-24 18:05:49,v8.0
GO:0001803,regulation of type III hypersensitivity,"Any process that modulates the frequency, rate, or extent of type III hypersensitivity, a type of inflammatory response.",GO,biological_process,System B: Immune Defense,B3,Immune Regulation and Tolerance,"Negative feedback control, checkpoint regulation, tolerance mechanisms",['System B: Immune Defense'],pro-inflammatory,0.9,"['pattern_matching', 'single_match_B']",2025-12-24 18:05:49,v8.0
GO:0001804,negative regulation of type III hypersensitivity,"Any process that stops, prevents, or reduces the rate of type III hypersensitivity, a type of inflammatory response.",GO,biological_process,System B: Immune Defense,B3,Immune Regulation and Tolerance,"Negative feedback control, checkpoint regulation, tolerance mechanisms",['System B: Immune Defense'],pro-inflammatory,0.9,"['pattern_matching', 'single_match_B']",2025-12-24 18:05:49,v8.0
GO:0001805,positive regulation of type III hypersensitivity,"Any process that activates or increases the frequency, rate or extent of type III hypersensitivity, a type of inflammatory response.",GO,biological_process,System B: Immune Defense,B3,Immune Regulation and Tolerance,"Negative feedback control, checkpoint regulation, tolerance mechanisms",['System B: Immune Defense'],pro-inflammatory,0.9,"['pattern_matching', 'single_match_B']",2025-12-24 18:05:49,v8.0
GO:0001807,regulation of type IV hypersensitivity,"Any process that modulates the frequency, rate, or extent of type IV hypersensitivity, a type of inflammatory response.",GO,biological_process,System B: Immune Defense,B3,Immune Regulation and Tolerance,"Negative feedback control, checkpoint regulation, tolerance mechanisms",['System B: Immune Defense'],pro-inflammatory,0.9,"['pattern_matching', 'single_match_B']",2025-12-24 18:05:49,v8.0
