ID,Name,Definition,Source,Namespace,Primary_System,Subcategory_Code,Subcategory_Name,Subcategory_Description,All_Systems,Inflammation_Polarity,Confidence_Score,Decision_Path,Classification_Date,Version
GO:0001519,peptide amidation,"The posttranslational conversion of C-terminal glycine-extended peptides to C-terminal alpha-amidated peptides. Occurs to over half of all peptide hormones to give bioactive peptides. This is a two step process catalyzed by a peptidyl-glycine alpha-hydroxylating monooxygenase and a peptidyl-alpha-hydroxyglycine alpha-amidating lyase. In some organisms, this process is catalyzed by two separate enzymes, whereas in higher organisms, one polypeptide catalyzes both reactions.",GO,biological_process,System D: Cognitive-Regulatory,D2,Endocrine and Autonomic Regulation,"Hormonal signaling, autonomic control, physiological set-points","['System D: Cognitive-Regulatory', 'System 0: General Molecular Machinery']",,0.8,"['pattern_matching', 'priority_rule_D']",2025-12-24 18:05:49,v8.0
GO:0001656,metanephros development,"The process whose specific outcome is the progression of the metanephros over time, from its formation to the mature structure. In mammals, the metanephros is the excretory organ of the fetus, which develops into the mature kidney and is formed from the rear portion of the nephrogenic cord. The metanephros is an endocrine and metabolic organ that filters the blood and excretes the end products of body metabolism in the form of urine.",GO,biological_process,System D: Cognitive-Regulatory,D2,Endocrine and Autonomic Regulation,"Hormonal signaling, autonomic control, physiological set-points","['System C: Energy & Metabolic Homeostasis', 'System D: Cognitive-Regulatory', 'System E: Reproduction & Continuity']",,0.8,"['pattern_matching', 'priority_rule_D']",2025-12-24 18:05:49,v8.0
GO:0002002,regulation of angiotensin levels in blood,"The process that modulates the level of any of the various angiotensinogen proteolytic products in the blood. This occurs by the proteolytic cleavage of angiotensinogen, and its proteolytic products, to create a variety of active peptide hormones, such as angiotensin I and angiotensin II, as well as through the removal of these peptides from the circulation.",GO,biological_process,System D: Cognitive-Regulatory,D2,Endocrine and Autonomic Regulation,"Hormonal signaling, autonomic control, physiological set-points",['System D: Cognitive-Regulatory'],,0.9,"['pattern_matching', 'single_match_D']",2025-12-24 18:05:49,v8.0
GO:0002004,secretion of vasopressin involved in fast regulation of systemic arterial blood pressure,The regulated release of the hormone vasopressin into the blood stream by the hypothalamus and pituitary gland contributing to fast regulation of blood pressure.,GO,biological_process,System D: Cognitive-Regulatory,D2,Endocrine and Autonomic Regulation,"Hormonal signaling, autonomic control, physiological set-points","['System D: Cognitive-Regulatory', 'System 0: General Molecular Machinery']",,0.8,"['pattern_matching', 'priority_rule_D']",2025-12-24 18:05:49,v8.0
GO:0002017,regulation of blood volume by renal aldosterone,The process in which the hormone aldosterone decreases the rate of diuresis and natriuresis resulting in increased blood volume.,GO,biological_process,System D: Cognitive-Regulatory,D2,Endocrine and Autonomic Regulation,"Hormonal signaling, autonomic control, physiological set-points",['System D: Cognitive-Regulatory'],,0.9,"['pattern_matching', 'single_match_D']",2025-12-24 18:05:49,v8.0
GO:0002154,thyroid hormone receptor signaling pathway,"A nuclear receptor-mediated signaling pathway initiated by a thyroid hormone  binding to an intracellular receptor of the nuclear receptor protein family, and ending with regulation of a downstream cellular process, e.g. transcription.",GO,biological_process,System D: Cognitive-Regulatory,D2,Endocrine and Autonomic Regulation,"Hormonal signaling, autonomic control, physiological set-points","['System D: Cognitive-Regulatory', 'System 0: General Molecular Machinery']",,0.8,"['pattern_matching', 'priority_rule_D']",2025-12-24 18:05:49,v8.0
GO:0002155,regulation of thyroid hormone receptor signaling pathway,"Any process that modulates the frequency, rate or extent of a thyroid hormone mediated signaling pathway.",GO,biological_process,System D: Cognitive-Regulatory,D2,Endocrine and Autonomic Regulation,"Hormonal signaling, autonomic control, physiological set-points",['System D: Cognitive-Regulatory'],,0.9,"['pattern_matching', 'single_match_D']",2025-12-24 18:05:49,v8.0
GO:0002156,negative regulation of thyroid hormone receptor signaling pathway,"Any process that stops, prevents, or reduces the frequency, rate or extent of thyroid hormone mediated signaling pathway.",GO,biological_process,System D: Cognitive-Regulatory,D2,Endocrine and Autonomic Regulation,"Hormonal signaling, autonomic control, physiological set-points",['System D: Cognitive-Regulatory'],,0.9,"['pattern_matching', 'single_match_D']",2025-12-24 18:05:49,v8.0
GO:0002157,positive regulation of thyroid hormone receptor signaling pathway,"Any process that increases the frequency, rate or extent of thyroid hormone mediated signaling pathway.",GO,biological_process,System D: Cognitive-Regulatory,D2,Endocrine and Autonomic Regulation,"Hormonal signaling, autonomic control, physiological set-points",['System D: Cognitive-Regulatory'],,0.9,"['pattern_matching', 'single_match_D']",2025-12-24 18:05:49,v8.0
GO:0002936,bradykinin biosynthetic process,The chemical reactions and pathways resulting in the formation of the peptide hormone bradykinin.,GO,biological_process,System D: Cognitive-Regulatory,D2,Endocrine and Autonomic Regulation,"Hormonal signaling, autonomic control, physiological set-points",['System D: Cognitive-Regulatory'],,0.9,"['pattern_matching', 'single_match_D']",2025-12-24 18:05:49,v8.0
