ID,Name,Definition,Source,Namespace,Primary_System,Subcategory_Code,Subcategory_Name,Subcategory_Description,All_Systems,Inflammation_Polarity,Confidence_Score,Decision_Path,Classification_Date,Version
GO:0002136,tRNA wobble base lysidine biosynthesis,The process in which the carbonyl of cytosine at position 34 of a tRNA is post-transcriptionally replaced by lysine.,GO,biological_process,System C: Energy & Metabolic Homeostasis,C2,Biosynthesis and Anabolism,"Macromolecular building blocks synthesis, growth demands","['System C: Energy & Metabolic Homeostasis', 'System 0: General Molecular Machinery']",,0.8,"['pattern_matching', 'priority_rule_C']",2025-12-24 18:05:49,v8.0
GO:0002138,retinoic acid biosynthetic process,"The chemical reactions and pathways resulting in the biosynthesis of retinoic acid, one of the three components that makes up vitamin A.",GO,biological_process,System C: Energy & Metabolic Homeostasis,C2,Biosynthesis and Anabolism,"Macromolecular building blocks synthesis, growth demands",['System C: Energy & Metabolic Homeostasis'],,0.9,"['pattern_matching', 'single_match_C']",2025-12-24 18:05:49,v8.0
GO:0002182,cytoplasmic translational elongation,The successive addition of amino acid residues to a nascent polypeptide chain during protein biosynthesis in the cytoplasm.,GO,biological_process,System C: Energy & Metabolic Homeostasis,C2,Biosynthesis and Anabolism,"Macromolecular building blocks synthesis, growth demands","['System C: Energy & Metabolic Homeostasis', 'System 0: General Molecular Machinery']",,0.8,"['pattern_matching', 'priority_rule_C']",2025-12-24 18:05:49,v8.0
GO:0002808,regulation of antibacterial peptide biosynthetic process,"Any process that modulates the frequency, rate, or extent of antibacterial peptide biosynthesis.",GO,biological_process,System C: Energy & Metabolic Homeostasis,C2,Biosynthesis and Anabolism,"Macromolecular building blocks synthesis, growth demands",['System C: Energy & Metabolic Homeostasis'],,0.9,"['pattern_matching', 'single_match_C']",2025-12-24 18:05:49,v8.0
GO:0002809,negative regulation of antibacterial peptide biosynthetic process,"Any process that stops, prevents, or reduces the frequency, rate, or extent of antibacterial peptide biosynthesis.",GO,biological_process,System C: Energy & Metabolic Homeostasis,C2,Biosynthesis and Anabolism,"Macromolecular building blocks synthesis, growth demands",['System C: Energy & Metabolic Homeostasis'],,0.9,"['pattern_matching', 'single_match_C']",2025-12-24 18:05:49,v8.0
GO:0002810,regulation of antifungal peptide biosynthetic process,"Any process that modulates the frequency, rate, or extent of antifungal peptide biosynthesis.",GO,biological_process,System C: Energy & Metabolic Homeostasis,C2,Biosynthesis and Anabolism,"Macromolecular building blocks synthesis, growth demands",['System C: Energy & Metabolic Homeostasis'],,0.9,"['pattern_matching', 'single_match_C']",2025-12-24 18:05:49,v8.0
GO:0002811,negative regulation of antifungal peptide biosynthetic process,"Any process that stops, prevents, or reduces the frequency, rate, or extent of antifungal peptide biosynthesis.",GO,biological_process,System C: Energy & Metabolic Homeostasis,C2,Biosynthesis and Anabolism,"Macromolecular building blocks synthesis, growth demands",['System C: Energy & Metabolic Homeostasis'],,0.9,"['pattern_matching', 'single_match_C']",2025-12-24 18:05:49,v8.0
GO:0002813,regulation of biosynthetic process of antibacterial peptides active against Gram-negative bacteria,"Any process that modulates the frequency, rate, or extent of biosynthesis of antibacterial peptides active against Gram-negative bacteria.",GO,biological_process,System C: Energy & Metabolic Homeostasis,C2,Biosynthesis and Anabolism,"Macromolecular building blocks synthesis, growth demands",['System C: Energy & Metabolic Homeostasis'],,0.9,"['pattern_matching', 'single_match_C']",2025-12-24 18:05:49,v8.0
GO:0002814,negative regulation of biosynthetic process of antibacterial peptides active against Gram-negative bacteria,"Any process that stops, prevents, or reduces the frequency, rate, or extent of biosynthesis of antibacterial peptides active against Gram-negative bacteria.",GO,biological_process,System C: Energy & Metabolic Homeostasis,C2,Biosynthesis and Anabolism,"Macromolecular building blocks synthesis, growth demands",['System C: Energy & Metabolic Homeostasis'],,0.9,"['pattern_matching', 'single_match_C']",2025-12-24 18:05:49,v8.0
GO:0002816,regulation of biosynthetic process of antibacterial peptides active against Gram-positive bacteria,"Any process that modulates the frequency, rate, or extent of biosynthesis of antibacterial peptides active against Gram-positive bacteria.",GO,biological_process,System C: Energy & Metabolic Homeostasis,C2,Biosynthesis and Anabolism,"Macromolecular building blocks synthesis, growth demands",['System C: Energy & Metabolic Homeostasis'],,0.9,"['pattern_matching', 'single_match_C']",2025-12-24 18:05:49,v8.0
GO:0002817,negative regulation of biosynthetic process of antibacterial peptides active against Gram-positive bacteria,"Any process that stops, prevents, or reduces the frequency, rate, or extent of biosynthesis of antibacterial peptides active against Gram-positive bacteria.",GO,biological_process,System C: Energy & Metabolic Homeostasis,C2,Biosynthesis and Anabolism,"Macromolecular building blocks synthesis, growth demands",['System C: Energy & Metabolic Homeostasis'],,0.9,"['pattern_matching', 'single_match_C']",2025-12-24 18:05:49,v8.0
GO:0002927,archaeosine-tRNA biosynthetic process,"The chemical reactions and pathways involved in the biosynthesis of archaeosine, an archaea-specific modified base found at position 15 in the D-loop of certain archaeal tRNAs.",GO,biological_process,System C: Energy & Metabolic Homeostasis,C2,Biosynthesis and Anabolism,"Macromolecular building blocks synthesis, growth demands","['System C: Energy & Metabolic Homeostasis', 'System 0: General Molecular Machinery']",,0.8,"['pattern_matching', 'priority_rule_C']",2025-12-24 18:05:49,v8.0
GO:0002937,tRNA 4-thiouridine biosynthesis,"The processes whereby a uridine residue in a tRNA is converted to 4-thiouridine. Typically 4-thiouridine is found at position 8, in many transfer RNAs.",GO,biological_process,System C: Energy & Metabolic Homeostasis,C2,Biosynthesis and Anabolism,"Macromolecular building blocks synthesis, growth demands","['System C: Energy & Metabolic Homeostasis', 'System 0: General Molecular Machinery']",,0.8,"['pattern_matching', 'priority_rule_C']",2025-12-24 18:05:49,v8.0
GO:0002942,"tRNA m2,2-guanine biosynthesis",The process whereby a guanine residue in a transfer RNA is methylated twice at the N2 position.,GO,biological_process,System C: Energy & Metabolic Homeostasis,C2,Biosynthesis and Anabolism,"Macromolecular building blocks synthesis, growth demands","['System C: Energy & Metabolic Homeostasis', 'System 0: General Molecular Machinery']",,0.8,"['pattern_matching', 'priority_rule_C']",2025-12-24 18:05:49,v8.0
GO:0006399,tRNA metabolic process,"The chemical reactions and pathways involving tRNA, transfer RNA, a class of relatively small RNA molecules responsible for mediating the insertion of amino acids into the sequence of nascent polypeptide chains during protein synthesis. Transfer RNA is characterized by the presence of many unusual minor bases, the function of which has not been completely established.",GO,biological_process,System C: Energy & Metabolic Homeostasis,C2,Biosynthesis and Anabolism,"Macromolecular building blocks synthesis, growth demands","['System C: Energy & Metabolic Homeostasis', 'System 0: General Molecular Machinery']",,0.8,"['pattern_matching', 'priority_rule_C']",2025-12-24 18:05:50,v8.0
GO:0006414,translational elongation,The successive addition of amino acid residues to a nascent polypeptide chain during protein biosynthesis.,GO,biological_process,System C: Energy & Metabolic Homeostasis,C2,Biosynthesis and Anabolism,"Macromolecular building blocks synthesis, growth demands","['System C: Energy & Metabolic Homeostasis', 'System 0: General Molecular Machinery']",,0.8,"['pattern_matching', 'priority_rule_C']",2025-12-24 18:05:50,v8.0
GO:0006591,ornithine metabolic process,"The chemical reactions and pathways involving ornithine, an amino acid only rarely found in proteins, but which is important in living organisms as an intermediate in the reactions of the urea cycle and in arginine biosynthesis.",GO,biological_process,System C: Energy & Metabolic Homeostasis,C2,Biosynthesis and Anabolism,"Macromolecular building blocks synthesis, growth demands",['System C: Energy & Metabolic Homeostasis'],,0.9,"['pattern_matching', 'single_match_C']",2025-12-24 18:05:50,v8.0
GO:0006592,ornithine biosynthetic process,"The chemical reactions and pathways resulting in the formation of ornithine, an amino acid only rarely found in proteins, but which is important in living organisms as an intermediate in the reactions of the urea cycle and in arginine biosynthesis.",GO,biological_process,System C: Energy & Metabolic Homeostasis,C2,Biosynthesis and Anabolism,"Macromolecular building blocks synthesis, growth demands",['System C: Energy & Metabolic Homeostasis'],,0.9,"['pattern_matching', 'single_match_C']",2025-12-24 18:05:50,v8.0
GO:0006963,positive regulation of antibacterial peptide biosynthetic process,"Any process that activates or increases the frequency, rate, or extent of antibacterial peptide biosynthesis.",GO,biological_process,System C: Energy & Metabolic Homeostasis,C2,Biosynthesis and Anabolism,"Macromolecular building blocks synthesis, growth demands",['System C: Energy & Metabolic Homeostasis'],,0.9,"['pattern_matching', 'single_match_C']",2025-12-24 18:05:50,v8.0
GO:0006964,positive regulation of biosynthetic process of antibacterial peptides active against Gram-negative bacteria,"Any process that activates or increases the frequency, rate, or extent of biosynthesis of antibacterial peptides active against Gram-negative bacteria.",GO,biological_process,System C: Energy & Metabolic Homeostasis,C2,Biosynthesis and Anabolism,"Macromolecular building blocks synthesis, growth demands",['System C: Energy & Metabolic Homeostasis'],,0.9,"['pattern_matching', 'single_match_C']",2025-12-24 18:05:50,v8.0
GO:0006965,positive regulation of biosynthetic process of antibacterial peptides active against Gram-positive bacteria,"Any process that activates or increases the frequency, rate, or extent of biosynthesis of antibacterial peptides active against Gram-positive bacteria.",GO,biological_process,System C: Energy & Metabolic Homeostasis,C2,Biosynthesis and Anabolism,"Macromolecular building blocks synthesis, growth demands",['System C: Energy & Metabolic Homeostasis'],,0.9,"['pattern_matching', 'single_match_C']",2025-12-24 18:05:50,v8.0
GO:0006967,positive regulation of antifungal peptide biosynthetic process,"Any process that activates or increases the frequency, rate, or extent of antifungal peptide biosynthesis.",GO,biological_process,System C: Energy & Metabolic Homeostasis,C2,Biosynthesis and Anabolism,"Macromolecular building blocks synthesis, growth demands",['System C: Energy & Metabolic Homeostasis'],,0.9,"['pattern_matching', 'single_match_C']",2025-12-24 18:05:50,v8.0
GO:0009092,homoserine metabolic process,"The chemical reactions and pathways involving homoserine, alpha-amino-gamma-hydroxybutyric acid, an intermediate in the biosynthesis of cystathionine, threonine and methionine.",GO,biological_process,System C: Energy & Metabolic Homeostasis,C2,Biosynthesis and Anabolism,"Macromolecular building blocks synthesis, growth demands",['System C: Energy & Metabolic Homeostasis'],,0.9,"['pattern_matching', 'single_match_C']",2025-12-24 18:05:51,v8.0
GO:0009272,fungal-type cell wall biogenesis,"A cellular process that results in the biosynthesis of constituent macromolecules, assembly, and arrangement of constituent parts of a fungal-type cell wall. The fungal-type cell wall contains beta-glucan and may contain chitin.",GO,biological_process,System C: Energy & Metabolic Homeostasis,C2,Biosynthesis and Anabolism,"Macromolecular building blocks synthesis, growth demands",['System C: Energy & Metabolic Homeostasis'],,0.9,"['pattern_matching', 'single_match_C']",2025-12-24 18:05:51,v8.0
GO:0009423,chorismate biosynthetic process,The chemical reactions and pathways resulting in the formation of the unsymmetrical ether derived from phosphoenolpyruvate and 5-phosphoshikimic acid formed as an intermediate in the biosynthesis of aromatic amino acids and many other compounds.,GO,biological_process,System C: Energy & Metabolic Homeostasis,C2,Biosynthesis and Anabolism,"Macromolecular building blocks synthesis, growth demands",['System C: Energy & Metabolic Homeostasis'],,0.9,"['pattern_matching', 'single_match_C']",2025-12-24 18:05:51,v8.0
GO:0009760,C4 photosynthesis,"The combination of atmospheric CO2 with a 3-carbon molecule phosphoenol pyruvate (PEP) in the mesophyll cells to make a 4-carbon acid which is immediately converted to malic acid. The malic acid is then passed across to the bundle sheath cells where it is broken down again to pyruvic acid and CO2. The acid is passed back to the mesophyll cells to be used again, while the CO2 is fed into the reductive pentose-phosphate cycle (Calvin cycle) and converted into sugar and starch.",GO,biological_process,System C: Energy & Metabolic Homeostasis,C2,Biosynthesis and Anabolism,"Macromolecular building blocks synthesis, growth demands",['System C: Energy & Metabolic Homeostasis'],,0.9,"['pattern_matching', 'single_match_C']",2025-12-24 18:05:51,v8.0
GO:0009832,plant-type cell wall biogenesis,"A cellular process that results in the biosynthesis of constituent macromolecules, assembly, and arrangement of constituent parts of a cellulose and pectin-containing cell wall. An example of this is found in Arabidopsis thaliana.",GO,biological_process,System C: Energy & Metabolic Homeostasis,C2,Biosynthesis and Anabolism,"Macromolecular building blocks synthesis, growth demands",['System C: Energy & Metabolic Homeostasis'],,0.9,"['pattern_matching', 'single_match_C']",2025-12-24 18:05:51,v8.0
GO:0009833,plant-type primary cell wall biogenesis,"A cellular process that results in the biosynthesis of constituent macromolecules, assembly, and arrangement of constituent parts of cellulose and pectin-containing cell walls that form adjacent to the middle lamella following cell division and during cell expansion. An example of this is found in Arabidopsis thaliana.",GO,biological_process,System C: Energy & Metabolic Homeostasis,C2,Biosynthesis and Anabolism,"Macromolecular building blocks synthesis, growth demands","['System C: Energy & Metabolic Homeostasis', 'System 0: General Molecular Machinery']",,0.8,"['pattern_matching', 'priority_rule_C']",2025-12-24 18:05:51,v8.0
GO:0009853,photorespiration,"A light-dependent catabolic process occurring concomitantly with photosynthesis in plants (especially C3 plants) whereby dioxygen (O2) is consumed and carbon dioxide (CO2) is evolved. The substrate is glycolate formed in large quantities in chloroplasts from 2-phosphoglycolate generated from ribulose 1,5-bisphosphate by the action of ribulose-bisphosphate carboxylase; the glycolate enters the peroxisomes where it is converted by glycolate oxidase to glyoxylate which undergoes transamination to glycine. This then passes into the mitochondria where it is decarboxylated forming one molecule of serine for every two molecules of glycine. This pathway also exists in photosynthetic bacteria.",GO,biological_process,System C: Energy & Metabolic Homeostasis,C2,Biosynthesis and Anabolism,"Macromolecular building blocks synthesis, growth demands",['System C: Energy & Metabolic Homeostasis'],,0.9,"['pattern_matching', 'single_match_C']",2025-12-24 18:05:51,v8.0
GO:0010142,"farnesyl diphosphate biosynthetic process, mevalonate pathway","The pathway that converts acetate, in the form of acetyl-CoA, to farnesyl diphosphate (FPP) through a series of mevalonate intermediates. Farnesyl diphosphate is an important substrate for other essential pathways, such as biosynthesis of sterols.",GO,biological_process,System C: Energy & Metabolic Homeostasis,C2,Biosynthesis and Anabolism,"Macromolecular building blocks synthesis, growth demands",['System C: Energy & Metabolic Homeostasis'],,0.9,"['pattern_matching', 'single_match_C']",2025-12-24 18:05:51,v8.0
GO:0010336,gibberellic acid homeostasis,"Any biological process involved in the maintenance of an internal steady state of gibberellic acid; may involve transport, biosynthesis, catabolism or conjugation.",GO,biological_process,System C: Energy & Metabolic Homeostasis,C2,Biosynthesis and Anabolism,"Macromolecular building blocks synthesis, growth demands",['System C: Energy & Metabolic Homeostasis'],,0.9,"['pattern_matching', 'single_match_C']",2025-12-24 18:05:51,v8.0
GO:0010573,vascular endothelial growth factor production,"The appearance of vascular endothelial growth factor production due to biosynthesis or secretion following a cellular stimulus, resulting in an increase in its intracellular or extracellular levels.",GO,biological_process,System C: Energy & Metabolic Homeostasis,C2,Biosynthesis and Anabolism,"Macromolecular building blocks synthesis, growth demands","['System C: Energy & Metabolic Homeostasis', 'System 0: General Molecular Machinery']",,0.8,"['pattern_matching', 'priority_rule_C']",2025-12-24 18:05:52,v8.0
GO:0010581,regulation of starch biosynthetic process,"An process which modulate the frequency, rate or extent of starch biosynthesis, the chemical reactions and pathways resulting in the formation of starch.",GO,biological_process,System C: Energy & Metabolic Homeostasis,C2,Biosynthesis and Anabolism,"Macromolecular building blocks synthesis, growth demands",['System C: Energy & Metabolic Homeostasis'],,0.9,"['pattern_matching', 'single_match_C']",2025-12-24 18:05:52,v8.0
GO:0010728,regulation of hydrogen peroxide biosynthetic process,"Any process that modulates the rate, frequency or extent of hydrogen peroxide biosynthesis. The chemical reactions and pathways resulting in the formation of hydrogen peroxide (H2O2), a potentially harmful byproduct of aerobic cellular respiration which can cause damage to DNA.",GO,biological_process,System C: Energy & Metabolic Homeostasis,C2,Biosynthesis and Anabolism,"Macromolecular building blocks synthesis, growth demands",['System C: Energy & Metabolic Homeostasis'],,0.9,"['pattern_matching', 'single_match_C']",2025-12-24 18:05:52,v8.0
GO:0010729,positive regulation of hydrogen peroxide biosynthetic process,"Any process that increases the rate, frequency or extent of hydrogen peroxide biosynthesis. The chemical reactions and pathways resulting in the formation of hydrogen peroxide (H2O2), a potentially harmful byproduct of aerobic cellular respiration which can cause damage to DNA.",GO,biological_process,System C: Energy & Metabolic Homeostasis,C2,Biosynthesis and Anabolism,"Macromolecular building blocks synthesis, growth demands",['System C: Energy & Metabolic Homeostasis'],,0.9,"['pattern_matching', 'single_match_C']",2025-12-24 18:05:52,v8.0
GO:0010730,negative regulation of hydrogen peroxide biosynthetic process,"Any process that decreases the rate, frequency or extent of hydrogen peroxide biosynthesis. The chemical reactions and pathways resulting in the formation of hydrogen peroxide (H2O2), a potentially harmful byproduct of aerobic cellular respiration which can cause damage to DNA.",GO,biological_process,System C: Energy & Metabolic Homeostasis,C2,Biosynthesis and Anabolism,"Macromolecular building blocks synthesis, growth demands",['System C: Energy & Metabolic Homeostasis'],,0.9,"['pattern_matching', 'single_match_C']",2025-12-24 18:05:52,v8.0
GO:0010794,regulation of dolichyl monophosphate biosynthetic process,"Any process that modulates the frequency, rate or extent of dolichol biosynthesis. Dolichol biosynthesis consists of the chemical reactions and pathways resulting in the formation of dolichols, any 2,3-dihydropolyprenol derived from four or more linked isoprene units.",GO,biological_process,System C: Energy & Metabolic Homeostasis,C2,Biosynthesis and Anabolism,"Macromolecular building blocks synthesis, growth demands",['System C: Energy & Metabolic Homeostasis'],,0.9,"['pattern_matching', 'single_match_C']",2025-12-24 18:05:52,v8.0
GO:0010795,regulation of ubiquinone biosynthetic process,"Any process that modulates the frequency, rate or extent of ubiquinone biosynthesis. Ubiquinone biosynthesis consists of the chemical reactions and pathways resulting in the formation of ubiquinone, a lipid-soluble electron-transporting coenzyme.",GO,biological_process,System C: Energy & Metabolic Homeostasis,C2,Biosynthesis and Anabolism,"Macromolecular building blocks synthesis, growth demands",['System C: Energy & Metabolic Homeostasis'],,0.9,"['pattern_matching', 'single_match_C']",2025-12-24 18:05:52,v8.0
GO:0010866,regulation of triglyceride biosynthetic process,"Any process that modulates the rate, frequency, or extent of triglyceride biosynthesis. Triglyceride biosynthesis is the collection of chemical reactions and pathways resulting in the formation of triglyceride, any triester of glycerol.",GO,biological_process,System C: Energy & Metabolic Homeostasis,C2,Biosynthesis and Anabolism,"Macromolecular building blocks synthesis, growth demands",['System C: Energy & Metabolic Homeostasis'],,0.9,"['pattern_matching', 'single_match_C']",2025-12-24 18:05:52,v8.0
GO:0010867,positive regulation of triglyceride biosynthetic process,"Any process that increases the rate, frequency, or extent of triglyceride biosynthesis. Triglyceride biosynthesis is the collection of chemical reactions and pathways resulting in the formation of triglyceride, any triester of glycerol.",GO,biological_process,System C: Energy & Metabolic Homeostasis,C2,Biosynthesis and Anabolism,"Macromolecular building blocks synthesis, growth demands",['System C: Energy & Metabolic Homeostasis'],,0.9,"['pattern_matching', 'single_match_C']",2025-12-24 18:05:52,v8.0
GO:0010868,negative regulation of triglyceride biosynthetic process,"Any process that decreases the rate, frequency, or extent of triglyceride biosynthesis. Triglyceride biosynthesis is the collection of chemical reactions and pathways resulting in the formation of triglyceride, any triester of glycerol.",GO,biological_process,System C: Energy & Metabolic Homeostasis,C2,Biosynthesis and Anabolism,"Macromolecular building blocks synthesis, growth demands",['System C: Energy & Metabolic Homeostasis'],,0.9,"['pattern_matching', 'single_match_C']",2025-12-24 18:05:52,v8.0
GO:0010908,regulation of heparan sulfate proteoglycan biosynthetic process,"Any process that modulates the rate, frequency or extent of heparan sulfate proteoglycan biosynthesis. Heparan sulfate proteoglycan biosynthetic processes are the chemical reactions and pathways resulting in the formation of the heparan sulfate proteoglycan, which consists of a core protein linked to a heparan sulfate glycosaminoglycan. The heparan sulfate chain is composed of the repeating disaccharide unit beta-(1,4)-N-acetyl-D-glucosamine-alpha-(1,4)-hexuronic acid.",GO,biological_process,System C: Energy & Metabolic Homeostasis,C2,Biosynthesis and Anabolism,"Macromolecular building blocks synthesis, growth demands",['System C: Energy & Metabolic Homeostasis'],,0.9,"['pattern_matching', 'single_match_C']",2025-12-24 18:05:52,v8.0
GO:0010909,positive regulation of heparan sulfate proteoglycan biosynthetic process,"Any process that increases the rate, frequency or extent of heparan sulfate proteoglycan biosynthesis. Heparan sulfate proteoglycan biosynthetic processes are the chemical reactions and pathways resulting in the formation of the heparan sulfate proteoglycan, which consists of a core protein linked to a heparan sulfate glycosaminoglycan. The heparan sulfate chain is composed of the repeating disaccharide unit beta-(1,4)-N-acetyl-D-glucosamine-alpha-(1,4)-hexuronic acid.",GO,biological_process,System C: Energy & Metabolic Homeostasis,C2,Biosynthesis and Anabolism,"Macromolecular building blocks synthesis, growth demands",['System C: Energy & Metabolic Homeostasis'],,0.9,"['pattern_matching', 'single_match_C']",2025-12-24 18:05:52,v8.0
GO:0010913,regulation of sterigmatocystin biosynthetic process,"Any process that modulates the rate, frequency, or extent of sterigmatocystin biosynthesis. Sterigmatocystin biosynthetic processes are the chemical reactions and pathways resulting in the formation of sterigmatocystin, a carcinogenic mycotoxin produced in high yields by strains of the common molds.",GO,biological_process,System C: Energy & Metabolic Homeostasis,C2,Biosynthesis and Anabolism,"Macromolecular building blocks synthesis, growth demands",['System C: Energy & Metabolic Homeostasis'],,0.9,"['pattern_matching', 'single_match_C']",2025-12-24 18:05:52,v8.0
GO:0010914,positive regulation of sterigmatocystin biosynthetic process,"Any process that increases the rate, frequency, or extent of sterigmatocystin biosynthesis. Sterigmatocystin biosynthetic processes are the chemical reactions and pathways resulting in the formation of sterigmatocystin, a carcinogenic mycotoxin produced in high yields by strains of the common molds.",GO,biological_process,System C: Energy & Metabolic Homeostasis,C2,Biosynthesis and Anabolism,"Macromolecular building blocks synthesis, growth demands",['System C: Energy & Metabolic Homeostasis'],,0.9,"['pattern_matching', 'single_match_C']",2025-12-24 18:05:52,v8.0
GO:0010919,regulation of inositol phosphate biosynthetic process,"Any process that modulates the rate, frequency or extent of inositol phosphate biosynthesis. Inositol phosphate biosynthetic processes are the chemical reactions and pathways resulting in the formation of an inositol phosphate, 1,2,3,4,5,6-cyclohexanehexol, with one or more phosphate groups attached.",GO,biological_process,System C: Energy & Metabolic Homeostasis,C2,Biosynthesis and Anabolism,"Macromolecular building blocks synthesis, growth demands",['System C: Energy & Metabolic Homeostasis'],,0.9,"['pattern_matching', 'single_match_C']",2025-12-24 18:05:52,v8.0
GO:0010920,negative regulation of inositol phosphate biosynthetic process,"Any process that decreases the rate, frequency or extent of inositol phosphate biosynthesis. Inositol phosphate biosynthetic processes are the chemical reactions and pathways resulting in the formation of an inositol phosphate, 1,2,3,4,5,6-cyclohexanehexol, with one or more phosphate groups attached.",GO,biological_process,System C: Energy & Metabolic Homeostasis,C2,Biosynthesis and Anabolism,"Macromolecular building blocks synthesis, growth demands",['System C: Energy & Metabolic Homeostasis'],,0.9,"['pattern_matching', 'single_match_C']",2025-12-24 18:05:52,v8.0
